Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2023/24,Wales,1675,5701998.899999999,10153982.7,126138,420399,260224.7104448282,7664248.2421608595,2219838.820019893,20844831.47262558
2023/24,West Midlands,3569,14730313.85,25722907.4,189387,868889,554472.8307925921,7141397.599706967,2051641.71128031,36528695.54177987
2023/24,Yorkshire and The Humber,2532,8836106.15,16105023.1,180503,532242,393366.5473709284,5931623.723128464,1781800.3066117703,24924558.677111164
2024/25,East Midlands,1849,7563465.75,12246388.6,95674,577598,327373.8887991006,3396122.7080714502,817488.4633189056,17460645.660189457
2024/25,East of England,1151,5987921.05,9758359.549999999,73128,369351,203789.80314103013,1976109.9791348905,598788.8905373773,12979527.222813297
2024/25,London,3536,18519004.4,29398769.8,170964,654761,626064.9382334341,9915216.3991604,2904356.6758848145,43670132.81327865
2024/25,North East,1773,4990693.399999999,8399191.7,105446,400996,313917.74193661724,3012894.4711060226,874139.557473157,13106585.470515797
2024/25,North West,4783,18292824.5,29442594.95,254690,1167805,846851.9795165483,13851360.749369131,3791012.1727641434,49354314.85164982
2024/25,Northern Ireland,1610,2466973.6999999997,3821288.9,100398,279705,285057.84800787014,11961792.467950853,3551233.1230880097,19999475.33904673
2024/25,Scotland,3164,10959299.9,17713787.5,150383,722654,560200.6404328578,13202389.955519628,3771908.8968284074,36121323.992780894
2024/25,South East,1896,9857868.2,16085294.6,94492,547961,335695.4533061626,1946048.197679391,767424.7056942184,19776915.956679773
2024/25,South West,2220,11139496.5,18140956.7,102271,632383,393061.1320356967,2211075.540885585,963068.6006222724,22442815.973543555
2024/25,Wales,1603,5272565.3,7641901.2,92349,345936,283818.46606000984,7958907.445850073,2497259.2783577526,18820171.390267838
2024/25,West Midlands,2630,11403014.35,17528625.2,126468,672397,465653.5032675146,4730670.635923592,1469634.7797457522,24993449.11893686
2024/25,Yorkshire and The Humber,2247,7767448.75,12426165.299999999,147318,484724,397841.60526315786,5060629.654971536,1663302.473714937,20179981.03394963
2025/26,East Midlands,789,3993541.4,6164057.2,49176,313625,99447.32759699624,NA,NA,6626305.527596996
