Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2018/19,NA,34398,72148815.14999999,130738456.64999999,3719494,8146283,2002544.468482252,74380121.47210653,18879652.169606835,237866551.7601956
2019/20,proposition_Enterprise,9776,75002035.64999999,136579300.5,1079844,7716980,710995.0325460108,4245101.265717178,2610231.8072547866,152942452.60551798
2019/20,NA,30106,66580840.85,120654920.25,3399736,7592815,2189567.967453989,74890167.7340059,18856371.677860983,227583578.62932086
2020/21,proposition_Enterprise,8712,66303252.1,121568589.5,845425,6917266,831129.802920154,3855221.931010989,2506477.6855103546,136524109.9194415
2020/21,NA,24026,64225157.65,117664141.7,2631183,7080177,2292094.197079846,54563909.794203915,14130478.227038246,198361983.918322
2021/22,proposition_Enterprise,7872,58575758.449999996,108790695.05,670331,6350263,795045.8997035101,4253324.415856782,2249810.7607528847,123109470.12631318
2021/22,NA,23495,69598356.14999999,129676967.3,2116564,7942375,2372917.10029649,76157182.04461467,18185019.584696043,236451025.0296072
2022/23,proposition_Enterprise,7568,53008395.3,98827316.35,567975,6052173,936875.4494420021,4507392.889742658,2321852.5971257063,113213585.28631036
2022/23,NA,24959,78099089.7,145805255.75,1866085,9151427,3089782.550557998,88317797.10028905,21747213.12759234,269977560.5284394
2023/24,proposition_Enterprise,7477,49709954.15,91374297.89999999,465180,5941039,1161681.212333254,4397733.1555340905,2430387.7187298746,105770318.98659721
2023/24,NA,26107,86814794.2,159415099.6,1662550,10265609,4056173.787666746,84638563.26315542,22103399.185551044,282141394.8363732
2024/25,proposition_Enterprise,5881,39512198.15,62561553.8,309875,4877254,1041221.3079085128,1755137.6524334403,1584254.4353601676,72129296.19570212
2024/25,NA,22582,74708377.64999999,120144882.85,1303161,9043194,3998105.6920914873,77468080.55318908,22085363.182669587,234042787.27795017
